Potential (V),Time (h),Meas I (mA)
3.003312,0,0
3.009909,0.000180451,10.05
3.016052,0.002353235,10.0426635
3.022801,0.005689299,10.042504
3.028604,0.00903371,10.042437
3.033868,0.012372552,10.0425985
3.041113,0.017378009,10.0424975
3.047814,0.022383518,10.0425895
3.054138,0.027405648,10.042345
3.060118,0.032400071,10.0427485
3.06587,0.037430513,10.042499
3.071342,0.042416585,10.042381
3.076671,0.047455376,10.0426595
3.081744,0.052430334,10.042774
3.088296,0.059102482,10.042408
3.094581,0.065777393,10.042279
3.100627,0.072452296,10.0427235
3.106449,0.079127208,10.0424365
3.112071,0.085804874,10.042698
3.117507,0.092485359,10.0424975
3.122748,0.099135275,10.0423615
3.128524,0.106718521,10.0427625
3.134298,0.114565965,10.042433
3.139921,0.122473663,10.0424885
3.145066,0.129939656,10.0425925
3.150104,0.137478956,10.042684
3.155969,0.146530532,10.0425165
3.161587,0.155499652,10.0425435
3.167063,0.164523279,10.0426045
3.172359,0.173531054,10.0423745
3.177508,0.182545523,10.042707
3.182521,0.191583531,10.042709
3.188138,0.202017235,10.0423015
3.193674,0.212624848,10.0424385
3.199129,0.223405812,10.0423205
3.204452,0.234246228,10.0423245
3.209475,0.244766646,10.042202
3.214508,0.255602913,10.0423545
3.219972,0.26772244,10.0425775
3.225239,0.279741447,10.0425745
3.230381,0.291807168,10.042637
3.235629,0.304488371,10.0422295
3.241079,0.318027078,10.0426155
3.246504,0.331898859,10.0422135
3.251634,0.34540696,10.04238
3.25677,0.359290416,10.042345
3.2623,0.374700809,10.042261
3.26762,0.389928861,10.042375
3.27279,0.405150927,10.0423185
3.277885,0.420555484,10.0423495
3.283324,0.437469236,10.042567
3.288501,0.454013815,10.0424305
3.29356,0.470608739,10.0423065
3.298568,0.487480037,10.042095
3.303902,0.505930421,10.0422565
3.308972,0.52394344,10.042532
3.314281,0.543321261,10.0423955
3.319481,0.562807717,10.042542
3.324565,0.582365129,10.042547
3.329893,0.603404281,10.0424985
3.335169,0.624816977,10.0424345
3.340328,0.646300683,10.0422465
3.345668,0.669138681,10.042527
3.350926,0.692238002,10.042229
3.35597,0.714968308,10.0422505
3.36101,0.738250758,10.0424735
3.366164,0.762698536,10.042282
3.371505,0.788707718,10.042229
3.376768,0.815024378,10.042198
3.381824,0.84098082,10.0423345
3.387025,0.868377145,10.042356
3.392118,0.895936857,10.0421205
3.397371,0.925105018,10.042429
3.402384,0.953732236,10.042422
